sample_id,% Assigned,M Assigned,% Aligned,M Aligned,Sample #,Randomised Sample #,Animal #,Photoperiod,ZT,ZToff,RIN,group
0143_01,66.30%,16.4,82.70%,18.2,1,1,C3H 1_1,LL,18,0,9,LL18
0143_02,62.10%,11.9,75.00%,13.2,23,2,C3H 6_3,SL,12,6,9.2,SL12
0143_03,63.60%,19.1,69.10%,21,26,3,C3H 7_2,SL,0,18,8.7,SL0
0143_04,65.20%,12.9,73.60%,14.2,27,4,C3H 7_3,SL,12,6,8.7,SL12
0143_05,66.90%,14.3,71.90%,15.8,30,5,C3H 8_2,LL,18,0,8.8,LL18
0143_06,65.30%,15.9,72.20%,17.6,4,6,C3H 1_4,LL,12,18,8.9,LL12
0143_07,68.10%,15.3,72.00%,16.9,15,7,C3H 4_3,SL,6,0,9.4,SL6
0143_08,66.10%,11,75.80%,12,10,8,C3H 3_2,LL,6,12,9,LL6
0143_09,65.50%,13.3,76.90%,14.8,8,9,C3H 2_4,LL,0,6,9,LL0
0143_10,65.00%,9.8,70.40%,10.9,16,10,C3H 4_4,SL,0,18,9,SL0
0143_11,66.00%,17.9,71.10%,19.7,9,11,C3H 3_1,LL,6,12,8.9,LL6
0143_12,63.90%,15.5,68.50%,17.1,28,12,C3H 7_4,SL,12,6,8.7,SL12
0143_13,62.30%,14.5,73.50%,16.2,20,13,C3H 5_4,SL,6,0,9.2,SL6
0143_14,65.80%,16.3,75.10%,17.9,31,14,C3H 8_3,LL,12,18,8.8,LL12
0143_15,65.90%,20.8,76.30%,23.2,24,15,C3H 6_4,SL,6,0,9.2,SL6
0143_16,63.20%,16.7,76.30%,18.5,32,16,C3H 8_4,LL,0,6,8.7,LL0
0143_17,60.00%,22.7,78.60%,26,2,17,C3H 1_2,LL,12,18,7.8,LL12
0143_18,63.90%,26.5,76.80%,29.5,29,18,C3H 8_1,LL,12,18,8.7,LL12
0143_19,63.60%,9.1,69.80%,10.1,7,19,C3H 2_3,LL,0,6,9.1,LL0
0143_20,63.40%,18.3,69.40%,20.3,19,20,C3H 5_3,SL,18,12,9.2,SL18
0143_21,65.90%,14.7,71.00%,16.4,6,21,C3H 2_2,LL,0,6,8.9,LL0
0143_22,63.80%,27.5,74.10%,30.4,11,22,C3H 3_3,LL,6,12,9,LL6
0143_23,60.70%,20.5,68.10%,22.6,14,23,C3H 4_2,SL,6,0,9.1,SL6
0143_24,62.40%,20,77.60%,22.2,22,24,C3H 6_2,SL,18,12,9.1,SL18
0143_25,64.90%,21.3,79.30%,23.6,3,25,C3H 1_3,LL,6,12,9,LL6
0143_26,62.20%,14.7,70.10%,16.4,5,26,C3H 2_1,LL,18,0,9.2,LL18
0143_27,64.10%,14.8,71.30%,16.3,25,27,C3H 7_1,SL,12,6,8.5,SL12
0143_28,64.30%,13.6,70.70%,14.9,18,28,C3H 5_2,SL,0,18,9.2,SL0
0143_29,65.30%,13.2,70.50%,14.6,17,29,C3H 5_1,SL,18,12,9,SL18
0143_30,65.70%,10.3,74.90%,11.4,13,30,C3H 4_1,SL,0,18,9.1,SL0
0143_31,64.00%,15.8,67.50%,17.5,21,31,C3H 6_1,SL,18,12,9,SL18
0143_32,66.90%,15.8,73.00%,17.4,12,32,C3H 3_4,LL,18,0,9.1,LL18